show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s24,Movie,The Clone,Zack Snyder,"Brad Pitt, Natalie Portman, Meryl Streep",Philippines,2015-08-26,2017,PG-13,153 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy","Passion, betrayal, and revenge collide in this thrilling drama."
s25,TV Show,Elite S8,Priyadarshan,"Leonardo DiCaprio, Robert Downey Jr",United States,2018-05-26,2014,R,6 Seasons,"Nature & Science TV, Romantic TV Shows, Docuseries",An extraordinary journey through time and space that will change everything you know.
s26,Movie,Blood Money 2,Zoya Akhtar,"Aamir Khan, Vidya Balan, Ranbir Kapoor, Ranveer Singh",Argentina,2019-03-02,2016,PG-13,93 min,Dramas,"In the shadows of a corrupt government, a resistance movement fights for freedom."
s27,TV Show,Bard of Blood 2 S3,David Fincher,"Cate Blanchett, Allu Arjun",South Korea,2019-06-09,2006,TV-14,3 Seasons,British TV Shows,"Crime, politics, and power intertwine in this explosive thriller."
s28,Movie,Dilwale Returns 5,Wes Anderson,"Shah Rukh Khan, Natalie Portman",Spain,2019-02-03,2017,PG-13,103 min,Stand-Up Comedy,"In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s29,Movie,Ocean's Secret,J.J. Abrams,"Kangana Ranaut, Song Kang-ho, Prabhas, Ranveer Singh",United States,2021-09-10,2021,PG-13,87 min,"Thrillers, Faith & Spirituality","In a small town, everyone has something to hide â and someone is watching."
s30,Movie,City of Lies,James Cameron,"Tom Hanks, Allu Arjun, Prabhas, Park Seo-jun",United States,2018-05-28,2001,PG-13,124 min,"Comedies, Action & Adventure",A young woman discovers her true identity and must choose between two worlds.
s31,Movie,Desi Romance 3,Zoya Akhtar,"Alia Bhatt, Vijay, Cate Blanchett, Shah Rukh Khan, Deepika Padukone",United States,2020-03-18,2001,TV-MA,144 min,"Horror Movies, International Movies, Faith & Spirituality","When love meets destiny, nothing will ever be the same again."
s32,Movie,Ocean's Secret 2,Priyadarshan,"Tom Hanks, Allu Arjun, Meryl Streep, Deepika Padukone",India,2019-07-20,2004,TV-MA,100 min,Documentaries,A comedian's rise to fame is complicated by dark secrets from the past.
s33,Movie,Lost in Translation 4,S.S. Rajamouli,"Song Kang-ho, Allu Arjun, Park Seo-jun, Ajith, Meryl Streep",United States,2021-12-04,2012,TV-MA,179 min,"Sci-Fi & Fantasy, Romantic Movies",Three strangers are brought together by fate in a life-changing adventure.
s34,Movie,Eternal Flame 3,Denis Villeneuve,"Allu Arjun, Tom Hanks",United Kingdom,2017-02-25,2008,R,135 min,"Faith & Spirituality, Sports Movies",A gripping tale of survival and redemption in a world gone mad.
s35,Movie,Narcos: Brazil 3,Chloe Zhao,"Aamir Khan, Deepika Padukone, Kangana Ranaut, Cate Blanchett",India,2021-06-14,2019,UR,84 min,"Romantic Movies, Children & Family Movies","When love meets destiny, nothing will ever be the same again."
s36,TV Show,Dark Chronicles S3,Ridley Scott,"Kangana Ranaut, Chris Evans, Allu Arjun, Park Seo-jun",United States,2017-09-10,2021,R,4 Seasons,"Korean TV Shows, Nature & Science TV, Docuseries",An extraordinary journey through time and space that will change everything you know.
s37,TV Show,Shtisel S4 S3,Bong Joon-ho,"Alia Bhatt, Jung Ho-yeon, Shah Rukh Khan, Jennifer Lawrence, Tom Hanks",Canada,2019-10-21,2010,TV-Y,4 Seasons,"TV Action & Adventure, TV Thrillers, Romantic TV Shows","Passion, betrayal, and revenge collide in this thrilling drama."
s38,Movie,The Promise,Anurag Kashyap,"Salman Khan, Jung Ho-yeon, Rajinikanth, Meryl Streep",Brazil,2016-04-05,2000,PG,130 min,"Dramas, Music & Musicals, International Movies",An estranged father and daughter reconnect on an unexpected road trip.
s39,Movie,Chennai Express 2 5,Peter Jackson,"Priyanka Chopra, Prabhas, Vijay",United States,2021-02-25,2013,PG-13,172 min,"Cult Movies, Music & Musicals, Comedies","In a small town, everyone has something to hide â and someone is watching."
s40,Movie,El Camino 2 5,Martin Scorsese,"Allu Arjun, Ranveer Singh, Alia Bhatt, Kangana Ranaut, Chris Evans",Egypt,2018-10-27,2016,NC-17,140 min,"Documentaries, Classic Movies",Three strangers are brought together by fate in a life-changing adventure.
s41,Movie,Dhadak 2,Anurag Kashyap,"Rajinikanth, Ranveer Singh, Ranbir Kapoor, Prabhas",United States,2018-02-23,2009,R,112 min,"Faith & Spirituality, Dramas",The future of humanity rests in the hands of an unlikely hero.
s42,Movie,Wild Hearts,Martin Scorsese,"Salman Khan, Cate Blanchett, Chris Evans",Germany,2018-01-07,2013,R,168 min,"Action & Adventure, Independent Movies, Classic Movies",A gripping tale of survival and redemption in a world gone mad.
s43,Movie,Eternal Flame 5,Patty Jenkins,"Ranbir Kapoor, Meryl Streep, Brad Pitt",Canada,2015-07-11,2021,TV-14,121 min,"Documentaries, Music & Musicals, Horror Movies","Based on true events, this story will shock and inspire in equal measure."
s44,Movie,El Camino 2,Chloe Zhao,"Salman Khan, Prabhas",Canada,2021-08-06,2001,R,111 min,Music & Musicals,A young woman discovers her true identity and must choose between two worlds.
s45,Movie,Dhadak 2 4,Imtiaz Ali,"Brad Pitt, Jung Ho-yeon, Salman Khan, Ranbir Kapoor, Shah Rukh Khan",Turkey,2015-06-08,2020,PG,153 min,Action & Adventure,"In the shadows of a corrupt government, a resistance movement fights for freedom."
s46,Movie,Kingdom Returns,Martin Scorsese,"Priyanka Chopra, Ranbir Kapoor, Allu Arjun",United States,2016-08-23,2008,TV-MA,91 min,"Thrillers, Documentaries, Animated Movies",A family torn apart by tragedy must find a way back to each other.
s47,Movie,Lupin Returns,Sanjay Leela Bhansali,"Robert Downey Jr, Vijay, Tom Hanks, Salman Khan, Vidya Balan",Australia,2020-04-04,2009,TV-MA,146 min,Comedies,"Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s48,TV Show,Shtisel S4,Wes Anderson,"Park Seo-jun, Cate Blanchett",Thailand,2015-07-12,2020,TV-MA,4 Seasons,"Docuseries, Kids' TV, TV Comedies",A chef's obsession with perfection leads to unexpected discoveries about life.
s49,Movie,Edge of Tomorrow 5,J.J. Abrams,"Jung Ho-yeon, Ajith, Vidya Balan, Brad Pitt, Chris Evans",Indonesia,2021-02-09,2014,R,129 min,"Independent Movies, Sports Movies, Action & Adventure",Behind every great fortune lies a great crime in this riveting saga.
s50,Movie,Lost in Translation,Tim Burton,"Chris Evans, Brad Pitt, Kim Go-eun, Kangana Ranaut",Australia,2017-09-01,2016,NR,80 min,International Movies,Behind every great fortune lies a great crime in this riveting saga.
s51,Movie,Delhi Crime Story,Rajkumar Hirani,"Natalie Portman, Song Kang-ho, Shah Rukh Khan, Salman Khan, Jennifer Lawrence",United States,2020-04-10,2021,TV-PG,130 min,"Cult Movies, Stand-Up Comedy, International Movies","In a small town, everyone has something to hide â and someone is watching."
s52,Movie,Silent Storm 4,Bong Joon-ho,"Meryl Streep, Deepika Padukone, Ajith, Tom Hanks",India,2020-09-25,2005,PG-13,164 min,"Children & Family Movies, Cult Movies","Based on true events, this story will shock and inspire in equal measure."
s53,Movie,The Secret Garden 4,Denis Villeneuve,"Leonardo DiCaprio, Jennifer Lawrence, Shah Rukh Khan, Vijay",Germany,2017-01-02,2017,R,86 min,"Classic Movies, Thrillers, Action & Adventure",An estranged father and daughter reconnect on an unexpected road trip.
s54,Movie,Hollow Man,Wes Anderson,"Aamir Khan, Brad Pitt, Park Seo-jun",France,2021-02-13,2015,PG-13,150 min,"Comedies, Horror Movies, Cult Movies",An estranged father and daughter reconnect on an unexpected road trip.
s55,Movie,Beyond the Stars 2,Patty Jenkins,"Kangana Ranaut, Song Kang-ho, Meryl Streep, Rajinikanth, Ranveer Singh",United Kingdom,2018-05-28,2018,UR,109 min,"Comedies, Thrillers, Romantic Movies",An extraordinary journey through time and space that will change everything you know.
s56,Movie,Dilwale Returns,Denis Villeneuve,"Alia Bhatt, Salman Khan, Leonardo DiCaprio",United States,2018-12-20,2015,R,99 min,"Animated Movies, Music & Musicals","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s57,Movie,Lupin Returns,S.S. Rajamouli,"Cate Blanchett, Deepika Padukone, Alia Bhatt",United States,2016-05-27,2004,PG-13,91 min,"Animated Movies, Music & Musicals",A family torn apart by tragedy must find a way back to each other.
s58,TV Show,The Valhalla Murders S2,Alfonso Cuaron,"Natalie Portman, Salman Khan, Kangana Ranaut, Aamir Khan, Kim Go-eun",Canada,2017-10-09,2000,PG-13,6 Seasons,"Sports TV, Crime TV Shows, British TV Shows",An estranged father and daughter reconnect on an unexpected road trip.
s59,Movie,Dhadak 2 5,Greta Gerwig,"Lee Min-ho, Brad Pitt, Leonardo DiCaprio, Vidya Balan, Cate Blanchett",Mexico,2018-02-16,2011,R,111 min,"Thrillers, Documentaries, Sports Movies",A comedian's rise to fame is complicated by dark secrets from the past.
s60,TV Show,Peaky Blinders S7 S5,Patty Jenkins,"Natalie Portman, Salman Khan",India,2017-02-25,2012,TV-MA,7 Seasons,Nature & Science TV,Three strangers are brought together by fate in a life-changing adventure.
s61,TV Show,Delhi Crime,Imtiaz Ali,"Prabhas, Natalie Portman, Rajinikanth, Aamir Khan, Tom Hanks",United States,2016-05-15,2015,PG-13,6 Seasons,"Anime Series, TV Comedies, Korean TV Shows","In a small town, everyone has something to hide â and someone is watching."
s62,Movie,Dangerous Game,Denis Villeneuve,"Natalie Portman, Deepika Padukone",Mexico,2016-08-23,2009,TV-G,104 min,"Classic Movies, Faith & Spirituality","In the shadows of a corrupt government, a resistance movement fights for freedom."
s63,TV Show,Lupin S4,Unknown,"Park Seo-jun, Salman Khan, Brad Pitt",Nigeria,2021-07-11,2016,R,1 Season,"Korean TV Shows, Sports TV",An estranged father and daughter reconnect on an unexpected road trip.
s64,TV Show,Typewriter,Wes Anderson,"Natalie Portman, Lee Min-ho, Chris Evans, Park Seo-jun, Tom Hanks",South Africa,2016-10-13,2007,TV-MA,4 Seasons,TV Mysteries,Behind every great fortune lies a great crime in this riveting saga.
s65,TV Show,Twenty Five Twenty One S3,David Fincher,"Ranveer Singh, Vidya Balan, Chris Evans",Philippines,2021-08-04,2016,TV-MA,1 Season,"Docuseries, Kids' TV, Spirituality","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s66,TV Show,Better Call Saul S7,Anurag Kashyap,"Park Seo-jun, Chris Evans",Indonesia,2021-09-13,2010,TV-14,7 Seasons,"Nature & Science TV, International TV Shows","Based on true events, this story will shock and inspire in equal measure."
s67,Movie,The Chosen One 4,Denis Villeneuve,"Cate Blanchett, Deepika Padukone",Turkey,2020-02-15,2005,TV-14,73 min,Sports Movies,"When love meets destiny, nothing will ever be the same again."
s68,Movie,Silent Storm,Martin Scorsese,"Ranveer Singh, Cate Blanchett, Vidya Balan",Brazil,2016-03-06,2002,TV-PG,118 min,"Sci-Fi & Fantasy, Classic Movies, Horror Movies","In the shadows of a corrupt government, a resistance movement fights for freedom."
s69,TV Show,Fauda S5,Unknown,"Kim Go-eun, Song Kang-ho",France,2017-11-18,2005,PG-13,3 Seasons,"Korean TV Shows, Kids' TV, British TV Shows",Three strangers are brought together by fate in a life-changing adventure.
s70,Movie,The Perfect Storm 5,Steven Spielberg,"Robert Downey Jr, Vidya Balan, Scarlett Johansson",Japan,2020-05-01,2021,R,71 min,"Comedies, Classic Movies, Animated Movies","In the shadows of a corrupt government, a resistance movement fights for freedom."
s71,Movie,Wild Hearts 4,Sanjay Leela Bhansali,"Prabhas, Deepika Padukone, Kim Go-eun",Spain,2015-05-26,2014,PG,116 min,"Horror Movies, Dramas, Animated Movies",A young woman discovers her true identity and must choose between two worlds.
s72,TV Show,Ozark Season 5,Priyadarshan,"Ranveer Singh, Lee Min-ho, Brad Pitt, Jung Ho-yeon",United States,2021-08-26,2009,TV-14,3 Seasons,Stand-Up Comedy,"In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s73,Movie,Dhadak 2 5,Shankar,"Salman Khan, Song Kang-ho, Robert Downey Jr, Shah Rukh Khan",United States,2015-08-12,2021,TV-14,103 min,"Independent Movies, Stand-Up Comedy, Thrillers","In the shadows of a corrupt government, a resistance movement fights for freedom."
s74,TV Show,The Family Man S4,Denis Villeneuve,"Prabhas, Jung Ho-yeon",Canada,2020-05-21,2013,PG-13,1 Season,Korean TV Shows,Behind every great fortune lies a great crime in this riveting saga.
s75,Movie,The Secret Garden,Patty Jenkins,"Robert Downey Jr, Natalie Portman, Scarlett Johansson",Brazil,2020-12-18,2013,TV-PG,163 min,International Movies,A family torn apart by tragedy must find a way back to each other.
s76,TV Show,Midnight in Paris,David Fincher,"Tom Hanks, Natalie Portman, Meryl Streep, Park Seo-jun",India,2020-06-18,2020,R,4 Seasons,"TV Action & Adventure, Reality TV",Three strangers are brought together by fate in a life-changing adventure.
s77,Movie,Dilwale Returns,Anurag Kashyap,"Aamir Khan, Song Kang-ho",India,2016-10-07,2002,TV-MA,140 min,Romantic Movies,"In the shadows of a corrupt government, a resistance movement fights for freedom."
s78,Movie,Bajirao 2,Priyadarshan,"Brad Pitt, Park Seo-jun",South Africa,2016-09-09,2005,PG-13,180 min,Horror Movies,A gripping tale of survival and redemption in a world gone mad.
s79,Movie,Squid Game: The Movie 4,Christopher Nolan,"Brad Pitt, Aamir Khan, Priyanka Chopra",Turkey,2019-02-24,2002,TV-Y7,169 min,"Cult Movies, Thrillers",Three strangers are brought together by fate in a life-changing adventure.
s80,Movie,Edge of Tomorrow,S.S. Rajamouli,"Natalie Portman, Prabhas, Shah Rukh Khan, Aamir Khan",South Africa,2021-07-14,2021,PG-13,161 min,"Dramas, Faith & Spirituality",A young woman discovers her true identity and must choose between two worlds.
s81,Movie,Crimson Tide,Jordan Peele,"Robert Downey Jr, Kangana Ranaut, Ranveer Singh, Jennifer Lawrence",Canada,2019-07-04,2003,TV-MA,153 min,"Romantic Movies, International Movies, Music & Musicals","In the shadows of a corrupt government, a resistance movement fights for freedom."
s82,TV Show,Bridgerton S4 S5,Steven Spielberg,"Cate Blanchett, Chris Evans, Allu Arjun, Brad Pitt",India,2016-11-16,2002,PG-13,1 Season,Kids' TV,A family torn apart by tragedy must find a way back to each other.
s83,Movie,All of Us Are Dead,David Fincher,"Allu Arjun, Deepika Padukone, Cate Blanchett, Scarlett Johansson",Philippines,2021-07-28,2001,NR,146 min,"Stand-Up Comedy, Thrillers",An estranged father and daughter reconnect on an unexpected road trip.
s84,Movie,The Golden Age 3,Shankar,"Scarlett Johansson, Park Seo-jun",Japan,2015-05-19,2007,TV-MA,178 min,"Faith & Spirituality, Action & Adventure, Children & Family Movies",A gripping tale of survival and redemption in a world gone mad.
s85,Movie,City of Lies 4,Ram Gopal Varma,"Scarlett Johansson, Shah Rukh Khan, Leonardo DiCaprio, Park Seo-jun",United States,2020-07-03,2004,TV-14,73 min,Cult Movies,An extraordinary journey through time and space that will change everything you know.
s86,TV Show,My Name S2,Unknown,"Ajith, Chris Evans, Rajinikanth, Vidya Balan",South Korea,2015-03-06,2019,PG,1 Season,"Stand-Up Comedy, Kids' TV",Behind every great fortune lies a great crime in this riveting saga.
s87,TV Show,My Name S2,Steven Spielberg,"Cate Blanchett, Deepika Padukone, Jennifer Lawrence, Allu Arjun",Brazil,2018-09-22,2009,PG,4 Seasons,"International TV Shows, Crime TV Shows, TV Action & Adventure","When old enemies become allies, the fate of the world hangs in the balance."
s88,Movie,Bajirao 2,Alfonso Cuaron,"Chris Evans, Deepika Padukone, Shah Rukh Khan, Ranbir Kapoor",Turkey,2016-03-13,2017,TV-14,134 min,"Stand-Up Comedy, Dramas, Independent Movies","When love meets destiny, nothing will ever be the same again."
s89,TV Show,The Family Man,Unknown,"Vidya Balan, Cate Blanchett, Robert Downey Jr, Vijay",Mexico,2017-02-13,2000,NR,2 Seasons,"Stand-Up Comedy, TV Horror, TV Dramas",A comedian's rise to fame is complicated by dark secrets from the past.
s90,Movie,The Chosen One,Peter Jackson,"Robert Downey Jr, Park Seo-jun",India,2017-04-11,2005,PG-13,151 min,Cult Movies,A chef's obsession with perfection leads to unexpected discoveries about life.
s91,Movie,La Casa del Fuego 4,Zoya Akhtar,"Meryl Streep, Deepika Padukone, Priyanka Chopra",United States,2016-10-05,2020,PG-13,168 min,"Classic Movies, Music & Musicals, Cult Movies",An estranged father and daughter reconnect on an unexpected road trip.
s92,Movie,Money Heist: Korea 4,Martin Scorsese,"Salman Khan, Ranbir Kapoor, Natalie Portman, Prabhas, Jennifer Lawrence",China,2019-01-12,2016,PG-13,129 min,"Comedies, Faith & Spirituality","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s93,Movie,Crimson Tide 2,Jordan Peele,"Natalie Portman, Vidya Balan, Alia Bhatt, Song Kang-ho, Ajith",Argentina,2018-10-21,2006,R,130 min,"Horror Movies, Comedies, Music & Musicals",A family torn apart by tragedy must find a way back to each other.
s94,Movie,Chennai Express 2,Anurag Kashyap,"Aamir Khan, Meryl Streep, Vijay",Canada,2018-09-17,2019,PG-13,117 min,"Independent Movies, International Movies",A young woman discovers her true identity and must choose between two worlds.
s95,Movie,Squid Game: The Movie 4,Ridley Scott,"Deepika Padukone, Alia Bhatt, Allu Arjun, Robert Downey Jr",India,2020-11-20,2004,R,144 min,"Horror Movies, Stand-Up Comedy, Animated Movies","Crime, politics, and power intertwine in this explosive thriller."
s96,Movie,The Heist 2,Bong Joon-ho,"Prabhas, Song Kang-ho, Chris Evans, Jung Ho-yeon, Priyanka Chopra",Brazil,2021-12-22,2016,PG-13,155 min,"Cult Movies, Stand-Up Comedy",A gripping tale of survival and redemption in a world gone mad.
s97,Movie,Eternal Flame,James Cameron,"Rajinikanth, Ranbir Kapoor, Tom Hanks, Meryl Streep",South Africa,2016-02-10,2003,TV-G,139 min,"Cult Movies, Comedies, Sports Movies","Based on true events, this story will shock and inspire in equal measure."
s98,Movie,The Heist,Quentin Tarantino,"Jung Ho-yeon, Vijay, Rajinikanth",Spain,2016-12-15,2001,R,156 min,"Sci-Fi & Fantasy, Music & Musicals, Animated Movies",Three strangers are brought together by fate in a life-changing adventure.
s99,Movie,The Clone,S.S. Rajamouli,"Kim Go-eun, Jung Ho-yeon, Tom Hanks, Scarlett Johansson, Allu Arjun",Colombia,2018-08-25,2009,TV-MA,134 min,"International Movies, Documentaries, Romantic Movies","Based on true events, this story will shock and inspire in equal measure."
s100,Movie,Money Heist: Korea,Anurag Kashyap,"Park Seo-jun, Scarlett Johansson, Alia Bhatt, Lee Min-ho, Deepika Padukone",Italy,2019-02-10,2002,TV-MA,104 min,"Cult Movies, Horror Movies",A comedian's rise to fame is complicated by dark secrets from the past.
s101,Movie,El Camino 2,J.J. Abrams,"Lee Min-ho, Shah Rukh Khan, Cate Blanchett, Aamir Khan",United Kingdom,2017-04-13,2002,R,73 min,"Thrillers, Sports Movies",The future of humanity rests in the hands of an unlikely hero.
s102,Movie,Operation Blackout,Mani Ratnam,"Vijay, Jung Ho-yeon, Priyanka Chopra, Rajinikanth, Ranbir Kapoor",Canada,2015-02-01,2008,PG-13,89 min,"Cult Movies, International Movies, Thrillers","When old enemies become allies, the fate of the world hangs in the balance."
s103,Movie,Eternal Flame,Denis Villeneuve,"Prabhas, Song Kang-ho, Kangana Ranaut, Natalie Portman, Salman Khan",United States,2018-10-18,2000,TV-14,143 min,Horror Movies,"When old enemies become allies, the fate of the world hangs in the balance."
s104,TV Show,Dark Chronicles S3,Quentin Tarantino,"Ranveer Singh, Scarlett Johansson",United States,2019-09-17,2016,TV-PG,4 Seasons,"International TV Shows, TV Sci-Fi & Fantasy","Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s105,Movie,Kal Ho Naa Ho Again,S.S. Rajamouli,"Scarlett Johansson, Meryl Streep",Italy,2020-02-25,2018,TV-14,112 min,Comedies,"Set against the backdrop of a divided nation, a story of hope and courage unfolds."
s106,Movie,Hellbound 5,Rajkumar Hirani,"Prabhas, Leonardo DiCaprio, Song Kang-ho, Priyanka Chopra, Salman Khan",Italy,2018-01-10,2006,PG,95 min,Sports Movies,"When old enemies become allies, the fate of the world hangs in the balance."
s107,TV Show,Narcos Mexico S4,Unknown,"Jennifer Lawrence, Scarlett Johansson, Park Seo-jun",Nigeria,2021-11-11,2008,PG-13,3 Seasons,"TV Sci-Fi & Fantasy, Stand-Up Comedy","Crime, politics, and power intertwine in this explosive thriller."
s108,Movie,Lost in Translation,Ryan Coogler,"Lee Min-ho, Song Kang-ho, Ranveer Singh, Brad Pitt",China,2020-07-03,2013,TV-PG,175 min,Faith & Spirituality,"When old enemies become allies, the fate of the world hangs in the balance."
s109,Movie,The Secret Garden,Sanjay Leela Bhansali,"Jennifer Lawrence, Natalie Portman, Kangana Ranaut, Vijay",Canada,2020-08-12,2014,PG,115 min,"International Movies, Children & Family Movies, Comedies","In a city full of secrets, one detective uncovers a conspiracy that goes all the way to the top."
s110,TV Show,Alchemy of Souls S3,Martin Scorsese,"Aamir Khan, Priyanka Chopra, Salman Khan, Meryl Streep, Rajinikanth",Mexico,2017-07-19,2001,TV-PG,6 Seasons,"TV Horror, Spirituality",Three strangers are brought together by fate in a life-changing adventure.
s111,Movie,The Experiment,Tim Burton,"Chris Evans, Prabhas, Brad Pitt, Meryl Streep, Deepika Padukone",United States,2016-08-17,2012,TV-MA,85 min,"Children & Family Movies, Music & Musicals",An extraordinary journey through time and space that will change everything you know.
s112,Movie,Delhi Crime Story 5,James Cameron,"Priyanka Chopra, Park Seo-jun",United States,2016-12-15,2002,TV-MA,178 min,"Stand-Up Comedy, Dramas","In a small town, everyone has something to hide â and someone is watching."
